public_date,gicdesc,bm_Mean,CAPEI_Mean,GProf_Mean,npm_Mean,roa_Mean,roe_Mean,totdebt_invcap_Mean
2021-01-31,Communication Services,0.910,-79.647,0.304,-0.677,-0.029,-0.301,0.561
2021-01-31,Consumer Discretionary,0.732,-241.75,0.360,-1.642,0.008,-0.184,0.769
2021-01-31,Consumer Staples,0.605,-8.487,0.420,-0.284,0.072,-0.059,0.517
2021-01-31,Energy,2.289,-173.62,0.021,-0.987,-0.046,-0.540,0.517
2021-01-31,Financials,1.263,42.887,0.065,0.138,0.038,0.120,0.602
2021-01-31,Health Care,0.377,11.771,0.030,-40.218,-0.619,-1.099,0.481
2021-01-31,Industrials,0.722,30.631,0.222,-2.360,0.043,-0.416,0.523
2021-01-31,Information Technology,0.408,-21.400,0.324,2.052,0.007,-0.181,0.446
2021-01-31,Materials,1.106,63.436,0.174,-0.096,0.055,0.014,-412.21
2021-01-31,Real Estate,1.137,-30.427,0.107,0.229,0.007,-0.007,0.415
2021-01-31,Utilities,0.689,20.763,0.083,-0.960,0.080,0.062,0.603
2021-02-28,Communication Services,0.709,39.218,0.259,-0.782,0.011,-0.181,6.256
2021-02-28,Consumer Discretionary,0.579,-34.628,0.338,-0.909,0.055,-0.108,0.697
2021-02-28,Consumer Staples,0.521,-36.737,0.416,-0.161,0.067,0.012,0.482
2021-02-28,Energy,1.497,14.248,-0.027,-1.230,-0.065,-0.389,0.519
2021-02-28,Financials,0.991,8.901,0.064,0.131,0.040,0.097,0.496
2021-02-28,Health Care,0.316,12.002,0.032,-42.311,-0.332,-0.725,0.760
2021-02-28,Industrials,0.551,44.454,0.237,-12.384,0.043,-0.040,0.512
2021-02-28,Information Technology,0.334,-68.503,0.311,1.868,0.015,-0.139,0.415
2021-02-28,Materials,0.820,23.085,0.174,-0.072,0.063,-0.011,0.492
2021-02-28,Real Estate,0.882,-25.991,0.076,0.076,0.017,0.015,0.447
2021-02-28,Utilities,0.635,30.487,0.081,-0.930,0.079,0.068,0.597
2021-03-31,Communication Services,0.711,40.598,0.261,-0.771,0.018,-0.165,6.217
2021-03-31,Consumer Discretionary,0.518,-36.673,0.338,-0.904,0.057,-0.105,0.694
2021-03-31,Consumer Staples,0.509,-27.263,0.414,-0.173,0.064,0.012,0.479
2021-03-31,Energy,1.461,14.892,-0.021,-1.214,-0.060,-0.392,0.521
2021-03-31,Financials,0.992,8.978,0.064,0.132,0.040,0.098,0.500
2021-03-31,Health Care,0.314,14.975,0.031,-41.055,-0.333,-0.726,0.755
2021-03-31,Industrials,0.538,43.178,0.236,-12.137,0.042,-0.036,0.517
2021-03-31,Information Technology,0.322,-51.283,0.306,1.899,0.016,-0.103,0.423
2021-03-31,Materials,0.818,23.598,0.174,-0.072,0.064,-0.010,0.492
2021-03-31,Real Estate,0.891,-8.268,0.076,0.037,0.015,0.018,0.442
2021-03-31,Utilities,0.627,32.535,0.082,-0.916,0.079,0.068,0.593
2021-04-30,Communication Services,0.699,37.307,0.256,-0.875,0.012,-0.190,6.222
2021-04-30,Consumer Discretionary,0.515,-33.862,0.338,-1.579,0.057,-0.104,0.692
2021-04-30,Consumer Staples,0.505,-36.861,0.414,-0.173,0.063,0.014,0.476
2021-04-30,Energy,1.411,17.074,-0.020,-1.196,-0.060,-0.392,0.517
2021-04-30,Financials,0.991,10.507,0.064,0.132,0.040,0.098,0.504
2021-04-30,Health Care,0.312,15.864,0.032,-39.521,-0.359,-0.725,0.755
2021-04-30,Industrials,0.534,43.732,0.237,-12.137,0.042,-0.038,0.517
2021-04-30,Information Technology,0.319,-57.115,0.306,1.832,0.015,-0.100,0.429
2021-04-30,Materials,0.806,24.813,0.173,-0.071,0.061,-0.011,0.494
2021-04-30,Real Estate,0.874,-3.476,0.077,-0.007,0.015,0.010,0.442
