DlyCalDt,mcap_N,mcap_Q,total_mcap,ratio_N,ratio_Q
2024-03-01,31434243944.72,27960809572.27,59395053516.990005,0.5292400980113303,0.47075990198866957
2024-03-04,31457129863.59,27893741932.829998,59350871796.42,0.5300196763998919,0.46998032360010805
2024-03-05,31309889417.31,27418025239.38,58727914656.69,0.5331347043452926,0.46686529565470736
2024-03-06,31494744311.579998,27578065084.11,59072809395.69,0.533151286247745,0.466848713752255
2024-03-07,31680180470.82,27981588271.69,59661768742.509995,0.5309963338087788,0.4690036661912213
2024-03-08,31633413559.85,27666820204.7,59300233764.55,0.533445006059329,0.466554993940671
2024-03-11,31651543759.53,27561633346.329998,59213177105.86,0.5345354751518243,0.46546452484817563
2024-03-12,31844470051.58,27970952272.36,59815422323.94,0.5323789219295514,0.46762107807044856
2024-03-13,31930963820.21,27825936048.96,59756899869.17,0.5343477303896071,0.46565226961039285
2024-03-14,31720715462.13,27745943710.96,59466659173.09,0.5334201702806325,0.46657982971936757
2024-03-15,31657183119.93,27484703587.35,59141886707.28,0.5352751642269336,0.46472483577306645
2024-03-18,31723839315.7,27663576456.61,59387415772.31,0.5341845389826101,0.46581546101739
2024-03-19,31912108629.13,27771135185.55,59683243814.68,0.5346912565312131,0.4653087434687869
2024-03-20,32193549839.99,28121788953.32,60315338793.31,0.5337539419336034,0.46624605806639663
2024-03-21,32355410724.42,28177950175.98,60533360900.399994,0.5345054403580324,0.4654945596419677
2024-03-22,32148353700.85,28216128632.63,60364482333.479996,0.5325706849144888,0.4674293150855113
2024-03-25,32082081535.73,28115096399.02,60197177934.75,0.5329499261660569,0.46705007383394315
2024-03-26,32045629719.79,28006333300.73,60051963020.520004,0.5336316767670005,0.46636832323299937
2024-03-27,32443826740.68,28153626438.15,60597453178.83,0.5353991799776562,0.46460082002234376
2024-03-28,32588248584.170002,28118601114.72,60706849698.89,0.5368133702508017,0.46318662974919844
2024-04-01,32400820945.96,28140492774.12,60541313720.08,0.5351852967011761,0.46481470329882385
2024-04-02,32178267469.03,27878992146.02,60057259615.05,0.535793136005265,0.4642068639947349
2024-04-03,32244417523.25,27943559376.08,60187976899.33,0.5357285488625376,0.4642714511374624
2024-04-04,31932141310.12,27566297924.74,59498439234.86,0.5366887219356005,0.46331127806439953
2024-04-05,32198845399.57,27893695649.7,60092541049.270004,0.5358209993677934,0.4641790006322066
2024-04-08,32220246155.9,27906558907.03,60126805062.93,0.5358715821034828,0.46412841789651715
2024-04-09,32239550786.5,27997516506.95,60237067293.45,0.5352111620813524,0.4647888379186476
2024-04-10,31818502028.45,27756172447.03,59574674475.479996,0.534094433726969,0.4659055662730311
2024-04-11,31756298597.48,28206353279.48,59962651876.96,0.5296013035354431,0.4703986964645569
2024-04-12,31284188647.96,27759252424.09,59043441072.05,0.5298503623761406,0.4701496376238593
2024-04-15,31035299993.32,27274793571.57,58310093564.89,0.5322457587687212,0.4677542412312789
2024-04-16,30909892156.51,27236931244.44,58146823400.95,0.5315835044568401,0.4684164955431599
2024-04-17,30879639728.97,26936859565.21,57816499294.18,0.5340973615827074,0.4659026384172926
2024-04-18,30885436069.58,26800499047.65,57685935117.23,0.5354066984753609,0.464593301524639
2024-04-19,31018008159.6,26273067693.18,57291075852.78,0.5414108165695212,0.4585891834304788
2024-04-22,31236328140.12,26557974925.58,57794303065.7,0.5404741727677008,0.4595258272322993
2024-04-23,31553941548.39,26968375760.7,58522317309.09,0.5391779238975705,0.46082207610242953
2024-04-24,31497124899.65,26994347435.35,58491472335.0,0.5384908883684028,0.46150911163159725
2024-04-25,31442550226.89,26827052965.87,58269603192.759995,0.5396046738618728,0.4603953261381273
2024-04-26,31497877403.42,27343274191.63,58841151595.05,0.5353035511641779,0.464696448835822
2024-04-29,31601780307.71,27443646908.63,59045427216.34,0.5352113075907197,0.46478869240928034
2024-04-30,31164764205.49,26899899077.84,58064663283.33,0.536725134414707,0.4632748655852929
2024-05-01,31127386708.44,26812707538.77,57940094247.21,0.5372339674773463,0.46276603252265364
2024-05-02,31333996183.46,27208741161.55,58542737345.009995,0.5352328504695522,0.46476714953044795
2024-05-03,31430984186.89,27740534929.260002,59171519116.15,0.5311843376066269,0.46881566239337313
2024-05-06,31724001711.32,28063027462.34,59787029173.66,0.5306167934715921,0.46938320652840787
2024-05-07,31795922457.04,28039342254.07,59835264711.11,0.531391021842279,0.468608978157721
2024-05-08,31808288107.93,27990567372.28,59798855480.21,0.5319213528836974,0.4680786471163027
2024-05-09,32046815284.63,28100370516.9,60147185801.53,0.5328065620622072,0.4671934379377929
2024-05-10,32236792956.42,28089098260.65,60325891217.07,0.5343774009143553,0.46562259908564474
2024-05-13,32021708852.64,28170486352.850002,60192195205.490005,0.5319910454058231,0.46800895459417685
2024-05-14,32153369564.670002,28420456975.0,60573826539.67,0.5308129170874264,0.4691870829125736
2024-05-15,32435247748.63,28788277238.3,61223524986.93,0.5297840618545613,0.4702159381454387
2024-05-16,32362446912.48,28700927243.47,61063374155.95,0.5299813081050748,0.47001869189492523
2024-05-17,32468268212.3,28682653743.09,61150921955.39,0.5309530449268748,0.4690469550731252
2024-05-20,32384801910.47,28857456662.36,61242258572.83,0.5287982949217593,0.4712017050782407
2024-05-21,32390014704.74,28925787067.38,61315801772.12,0.5282490609046816,0.4717509390953184
2024-05-22,32220977136.66,28865311700.59,61086288837.25,0.5274666009340523,0.4725333990659477
2024-05-23,31818684698.52,28744849130.1,60563533828.619995,0.5253769502380609,0.47462304976193925
2024-05-24,31952632510.87,29059077553.45,61011710064.32,0.5237131114204924,0.4762868885795076
2024-05-28,31754900632.43,29217153512.81,60972054145.240005,0.5208107398971248,0.47918926010287516
2024-05-29,31412987443.06,29043454289.260002,60456441732.32001,0.5195970279254233,0.4804029720745767
2024-05-30,31514883141.95,28745821172.81,60260704314.76,0.522975685404176,0.47702431459582395
2024-05-31,32001203226.87,28735612831.4,60736816058.270004,0.5268831213702166,0.4731168786297833
2024-06-03,31827932682.69,28888943450.86,60716876133.55,0.5242024081193302,0.4757975918806697
2024-06-04,31721023902.38,28935361567.65,60656385470.03,0.5229626469920994,0.47703735300790073
2024-06-05,31893450275.01,29488539639.26,61381989914.27,0.5195897089611208,0.4804102910388792
2024-06-06,31900245602.64,29467998702.33,61368244304.97,0.519816819984477,0.48018318001552296
2024-06-07,31780326834.44,29393309932.62,61173636767.06,0.5195101765071561,0.4804898234928438
2024-06-10,31869877501.87,29493884448.54,61363761950.41,0.5193599037755386,0.4806400962244613
2024-06-11,31692134862.34,29738510558.19,61430645420.53,0.5159010563113594,0.4840989436886406
2024-06-12,31841714000.26,30182417823.37,62024131823.63,0.5133762144515648,0.4866237855484352
2024-06-13,31803792782.59,30281855388.34,62085648170.93,0.5122567569082946,0.4877432430917053
2024-06-14,31535090962.06,30326581172.0,61861672134.06,0.5097678396684869,0.4902321603315132
2024-06-17,31696731283.44,30602912049.329998,62299643332.77,0.508778695796599,0.4912213042034011
2024-06-18,31816624566.08,30616118073.88,62432742639.96001,0.5096143981622202,0.49038560183777974
2024-06-20,31900537351.61,30386397355.07,62286934706.68,0.5121545553948862,0.4878454446051138
2024-06-21,31883538326.55,30325148109.47,62208686436.020004,0.5125255033208486,0.4874744966791513
2024-06-24,32139511351.16,30010261520.33,62149772871.490005,0.51712998883546,0.48287001116454
2024-06-25,31914879699.36,30373735206.98,62288614906.34,0.5123709966476003,0.48762900335239967
2024-06-26,31831954829.37,30513364767.6,62345319596.97,0.5105748921514397,0.48942510784856025
2024-06-27,31854854506.9,30610211497.67,62465066004.57,0.5099627126715831,0.49003728732841695
2024-06-28,31897692907.61,30402111004.4,62299803912.01,0.5120031028133114,0.48799689718668854
2024-07-01,31741633957.53,30633454672.42,62375088629.95,0.5088831880599357,0.49111681194006435
2024-07-02,31854675571.98,30879353262.79,62734028834.770004,0.5077734710117121,0.49222652898828784
2024-07-03,31926783396.32,31152197570.739998,63078980967.06,0.506139809281197,0.49386019071880305
2024-07-05,31916173852.37,31427323129.3,63343496981.67,0.5038587285701283,0.4961412714298718
2024-07-08,31901320969.38,31511808447.0,63413129416.380005,0.5030712293019195,0.49692877069808045
2024-07-09,31848737264.28,31553693936.86,63402431201.14,0.502326750897643,0.49767324910235705
2024-07-10,32109094381.13,31925910844.34,64035005225.47,0.5014303390477208,0.4985696609522791
2024-07-11,32463443478.18,31335658587.06,63799102065.240005,0.5088385639814079,0.491161436018592
2024-07-12,32669954350.44,31533044959.920002,64202999310.36,0.5088540208614253,0.4911459791385748
2024-07-15,32762630426.98,31653894979.2,64416525406.18,0.508605986125368,0.491394013874632
2024-07-16,33263239949.23,31721832712.02,64985072661.25,0.5118597023446058,0.4881402976553943
2024-07-17,33201475249.42,30870782044.51,64072257293.92999,0.518188006036825,0.4818119939631751
2024-07-18,32845534878.989998,30659943402.57,63505478281.56,0.5172078971418016,0.4827921028581984
2024-07-19,32681217177.39,30429782998.97,63111000176.36,0.5178370979078806,0.4821629020921195
2024-07-22,32887845124.44,30898662435.42,63786507559.86,0.5155925035333943,0.48440749646660564
2024-07-23,32865673588.71,30882450608.920002,63748124197.630005,0.515555147737694,0.484444852262306
2024-07-24,32513426626.25,29810597678.86,62324024305.11,0.5216836844020067,0.4783163155979933
2024-07-25,32584554843.53,29557473955.4,62142028798.93,0.5243561478972998,0.47564385210270027
2024-07-26,32983173811.34,29847593906.75,62830767718.09,0.524952583093197,0.475047416906803
2024-07-29,32944085488.4,29858703920.36,62802789408.76,0.5245640488032975,0.47543595119670246
2024-07-30,33053486850.61,29470266259.34,62523753109.95,0.5286548744520246,0.4713451255479754
2024-07-31,33212245268.93,30234985092.05,63447230360.979996,0.5234624912698397,0.4765375087301603
2024-08-01,32902798061.76,29547101284.14,62449899345.899994,0.5268671111784611,0.4731328888215389
2024-08-02,32333986711.47,28857768618.95,61191755330.42,0.5284043011493077,0.4715956988506924
2024-08-05,31540809917.04,27895419460.09,59436229377.130005,0.5306664007386771,0.4693335992613229
2024-08-06,31909712579.6,28169877521.81,60079590101.41,0.5311240061015515,0.4688759938984485
2024-08-07,31765150978.11,27883433156.21,59648584134.32,0.532538222643801,0.467461777356199
2024-08-08,32349333303.19,28662639279.06,61011972582.25,0.530212873540189,0.46978712645981097
2024-08-09,32537686210.47,28808150592.53,61345836803.0,0.5303976260843638,0.46960237391563614
