gsector,year,month,bm,npm,roe,roa,CAPEI,GProf,totdebt_invcap
10.0,2021,1,2.5004999999999997,-0.3405,-0.2365,0.057,-5.1855,0.113,0.3245
10.0,2021,2,1.515,-0.4345,-0.2555,0.032,-8.994499999999999,0.09,0.3385
10.0,2021,3,1.515,-0.4345,-0.2555,0.032,-8.585,0.09,0.3385
10.0,2021,4,1.515,-0.4345,-0.2555,0.032,-9.089500000000001,0.09,0.3385
10.0,2021,5,1.1244999999999998,-0.273,-0.1135,0.024499999999999997,-9.247499999999999,0.079,0.3425
10.0,2021,6,1.1244999999999998,-0.273,-0.1135,0.024499999999999997,-10.1685,0.079,0.3425
10.0,2021,7,1.1244999999999998,-0.273,-0.1135,0.024499999999999997,-8.716999999999999,0.079,0.3425
10.0,2021,8,0.935,-0.124,-0.07500000000000001,0.0455,-9.889000000000001,0.0995,0.33799999999999997
10.0,2021,9,1.004,-0.147,-0.049,0.104,-20.421,0.12,0.348
10.0,2021,10,1.004,-0.147,-0.049,0.104,-24.38,0.12,0.348
10.0,2021,11,1.013,-0.01,-0.004,0.132,-26.507,0.151,0.325
10.0,2021,12,1.013,-0.01,-0.004,0.132,-28.099,0.151,0.325
10.0,2022,1,1.013,-0.01,-0.004,0.132,-33.318,0.151,0.325
10.0,2022,2,0.887,0.181,0.088,0.186,342.034,0.211,0.279
10.0,2022,3,0.887,0.181,0.088,0.186,380.695,0.211,0.279
10.0,2022,4,0.887,0.181,0.088,0.186,371.505,0.211,0.279
10.0,2022,5,0.639,0.37,0.199,0.215,-208.27,0.234,0.288
10.0,2022,6,0.639,0.37,0.199,0.215,-148.96,0.234,0.288
10.0,2022,7,0.639,0.37,0.199,0.215,-164.33,0.234,0.288
10.0,2022,8,0.754,0.452,0.282,0.27,125.693,0.286,0.274
10.0,2022,9,0.754,0.452,0.282,0.27,110.909,0.286,0.274
10.0,2022,10,0.754,0.452,0.282,0.27,149.565,0.286,0.274
10.0,2022,11,0.781,0.495,0.333,0.301,44.821,0.317,0.274
10.0,2022,12,0.781,0.495,0.333,0.301,39.611,0.317,0.274
10.0,2023,1,0.781,0.495,0.333,0.301,40.197,0.317,0.274
10.0,2023,2,0.675,0.486,0.323,0.281,16.908,0.277,0.358
10.0,2023,3,0.675,0.486,0.323,0.281,16.108,0.277,0.358
10.0,2023,4,0.675,0.486,0.323,0.281,16.242,0.277,0.358
10.0,2023,5,0.778,0.369,0.236,0.276,16.823,0.287,0.316
10.0,2023,6,0.778,0.369,0.236,0.276,17.476,0.287,0.316
10.0,2023,7,0.778,0.369,0.236,0.276,19.943,0.287,0.316
10.0,2023,8,0.826,0.304,0.177,0.235,17.261,0.249,0.336
10.0,2023,9,0.826,0.304,0.177,0.235,17.523,0.249,0.336
10.0,2023,10,0.826,0.304,0.177,0.235,17.89,0.249,0.336
10.0,2023,11,0.736,0.26,0.146,0.22,15.268,0.232,0.356
10.0,2023,12,0.736,0.26,0.146,0.22,14.505,0.232,0.356
10.0,2024,1,0.736,0.26,0.146,0.22,13.719,0.232,0.356
10.0,2024,2,0.834,0.241,0.134,0.213,13.613,0.231,0.386
10.0,2024,3,0.834,0.241,0.134,0.213,15.909,0.231,0.386
10.0,2024,4,0.834,0.241,0.134,0.213,15.073,0.231,0.386
10.0,2024,5,0.721,0.225,0.124,0.205,15.956,0.224,0.361
10.0,2024,6,0.721,0.225,0.124,0.205,15.797,0.224,0.361
10.0,2024,7,0.721,0.225,0.124,0.205,15.327,0.224,0.361
10.0,2024,8,0.729,0.228,0.129,0.213,15.27,0.232,0.357
10.0,2024,9,0.729,0.228,0.129,0.213,14.193,0.232,0.357
10.0,2024,10,0.729,0.228,0.129,0.213,14.763,0.232,0.357
15.0,2021,1,0.15333333333333332,0.10833333333333334,0.199,0.13666666666666666,33.95933333333333,0.23266666666666666,0.7799999999999999
15.0,2021,2,0.17466666666666666,0.19233333333333333,0.38749999999999996,0.132,23.262333333333334,0.21799999999999997,0.693
15.0,2021,3,0.17466666666666666,0.19233333333333333,0.38749999999999996,0.132,25.31833333333333,0.21799999999999997,0.693
15.0,2021,4,0.17466666666666666,0.19233333333333333,0.38749999999999996,0.132,26.860666666666663,0.21799999999999997,0.693
15.0,2021,5,0.165,0.18866666666666665,1.6193333333333333,0.14033333333333334,33.361,0.23099999999999998,0.7370000000000001
15.0,2021,6,0.165,0.18866666666666665,1.6193333333333333,0.14033333333333334,32.16433333333333,0.23099999999999998,0.7370000000000001
15.0,2021,7,0.165,0.18866666666666665,1.6193333333333333,0.14033333333333334,31.575999999999997,0.23099999999999998,0.7370000000000001
15.0,2021,8,0.17333333333333334,0.19299999999999998,1.7116666666666667,0.15333333333333332,28.274333333333335,0.24266666666666667,0.722
15.0,2021,9,0.17333333333333334,0.19299999999999998,1.7116666666666667,0.15333333333333332,26.57466666666667,0.24266666666666667,0.722
15.0,2021,10,0.17333333333333334,0.19299999999999998,1.7116666666666667,0.15333333333333332,27.62,0.24266666666666667,0.722
15.0,2021,11,0.19400000000000003,0.19233333333333333,1.479,0.161,26.645,0.2503333333333333,0.719
15.0,2021,12,0.19400000000000003,0.19233333333333333,1.479,0.161,29.165666666666667,0.2503333333333333,0.719
15.0,2022,1,0.19400000000000003,0.19233333333333333,1.479,0.161,28.932000000000002,0.2503333333333333,0.719
15.0,2022,2,0.17833333333333334,0.15733333333333333,0.9133333333333334,0.16766666666666666,24.82166666666667,0.256,0.7226666666666667
15.0,2022,3,0.17833333333333334,0.15733333333333333,0.9133333333333334,0.16766666666666666,26.02933333333333,0.256,0.7226666666666667
15.0,2022,4,0.17833333333333334,0.15733333333333333,0.9133333333333334,0.16766666666666666,25.610666666666663,0.256,0.7226666666666667
15.0,2022,5,0.18766666666666665,0.16,1.2206666666666668,0.17966666666666667,25.547666666666668,0.27133333333333337,0.7240000000000001
15.0,2022,6,0.18766666666666665,0.16,1.2206666666666668,0.17966666666666667,22.340999999999998,0.27133333333333337,0.7240000000000001
15.0,2022,7,0.18766666666666665,0.16,1.2206666666666668,0.17966666666666667,23.262333333333334,0.27133333333333337,0.7240000000000001
15.0,2022,8,0.2376666666666667,0.14766666666666664,1.084666666666667,0.17533333333333334,20.355666666666668,0.27099999999999996,0.718
15.0,2022,9,0.2376666666666667,0.14766666666666664,1.084666666666667,0.17533333333333334,18.210666666666665,0.27099999999999996,0.718
15.0,2022,10,0.2376666666666667,0.14766666666666664,1.084666666666667,0.17533333333333334,19.971666666666668,0.27099999999999996,0.718
15.0,2022,11,0.293,0.134,0.9813333333333333,0.168,20.953666666666667,0.25233333333333335,0.7476666666666668
15.0,2022,12,0.293,0.134,0.9813333333333333,0.168,19.872,0.25233333333333335,0.7476666666666668
15.0,2023,1,0.293,0.134,0.9813333333333333,0.168,21.775666666666666,0.25233333333333335,0.7476666666666668
15.0,2023,2,0.303,0.14266666666666666,0.6743333333333333,0.136,16.682333333333336,0.21166666666666667,0.7806666666666667
15.0,2023,3,0.303,0.14266666666666666,0.6743333333333333,0.136,15.743666666666664,0.21166666666666667,0.7806666666666667
15.0,2023,4,0.303,0.14266666666666666,0.6743333333333333,0.136,16.032999999999998,0.21166666666666667,0.7806666666666667
15.0,2023,5,0.29866666666666664,0.12133333333333333,0.6413333333333333,0.13466666666666668,14.51,0.2133333333333333,0.7883333333333334
15.0,2023,6,0.29866666666666664,0.12133333333333333,0.6413333333333333,0.13466666666666668,15.080333333333334,0.2133333333333333,0.7883333333333334
15.0,2023,7,0.29866666666666664,0.12133333333333333,0.6413333333333333,0.13466666666666668,15.445666666666668,0.2133333333333333,0.7883333333333334
15.0,2023,8,0.30333333333333334,0.10933333333333334,0.518,0.11966666666666666,13.156,0.19666666666666666,0.8093333333333333
15.0,2023,9,0.30333333333333334,0.10933333333333334,0.518,0.11966666666666666,11.356666666666667,0.19666666666666666,0.8093333333333333
15.0,2023,10,0.41300000000000003,0.1295,0.2025,0.0955,9.424499999999998,0.1585,0.7095
15.0,2023,11,0.49849999999999994,0.155,0.2355,0.088,10.031500000000001,0.1555,0.712
15.0,2023,12,0.49849999999999994,0.155,0.2355,0.088,11.5215,0.1555,0.712
15.0,2024,1,0.49849999999999994,0.155,0.2355,0.088,10.5435,0.1555,0.712
15.0,2024,2,0.5295,0.248,0.30300000000000005,0.08,8.998999999999999,0.14250000000000002,0.6205
15.0,2024,3,0.5295,0.248,0.30300000000000005,0.08,10.2915,0.14250000000000002,0.6205
15.0,2024,4,0.5295,0.248,0.30300000000000005,0.08,9.3665,0.14250000000000002,0.6205
15.0,2024,5,0.496,0.244,0.29100000000000004,0.07150000000000001,10.318,0.137,0.6805
15.0,2024,6,0.496,0.244,0.29100000000000004,0.07150000000000001,9.452,0.137,0.6805
15.0,2024,7,0.496,0.244,0.29100000000000004,0.07150000000000001,9.731,0.137,0.6805
15.0,2024,8,0.6035,0.271,0.306,0.07200000000000001,9.4865,0.1345,0.651
15.0,2024,9,0.6035,0.271,0.306,0.07200000000000001,9.7715,0.1345,0.651
15.0,2024,10,0.6035,0.271,0.306,0.07200000000000001,9.369,0.1345,0.651
15.0,2024,11,0.5645,0.236,0.245,0.07150000000000001,6.903,0.132,0.6335
15.0,2024,12,0.5645,0.236,0.245,0.07150000000000001,5.971,0.132,0.6335
20.0,2021,1,0.5143333333333333,-0.07400000000000001,-9.7765,0.03875,17.2025,0.29500000000000004,0.63975
20.0,2021,2,0.3586666666666667,-0.198,0.0030000000000000027,0.003500000000000003,7.4475,0.2285,0.72175
20.0,2021,3,0.34850000000000003,-0.2743333333333333,-0.026499999999999996,-0.024999999999999994,-5.091333333333336,0.22533333333333336,0.7856666666666667
20.0,2021,4,0.34850000000000003,-0.2743333333333333,-0.026499999999999996,-0.024999999999999994,-2.177666666666667,0.22533333333333336,0.7856666666666667
20.0,2021,5,0.256,-0.33266666666666667,-0.00849999999999998,-0.04833333333333333,34.03966666666667,0.19733333333333336,0.7506666666666666
20.0,2021,6,0.256,-0.33266666666666667,-0.00849999999999998,-0.04833333333333333,31.061999999999998,0.19733333333333336,0.7506666666666666
20.0,2021,7,0.256,-0.33266666666666667,-0.00849999999999998,-0.04833333333333333,31.188666666666666,0.19733333333333336,0.7506666666666666
20.0,2021,8,0.312,-0.13066666666666668,0.09999999999999999,0.0050000000000000044,4.596,0.25566666666666665,0.7616666666666667
20.0,2021,9,0.312,-0.13066666666666668,0.09999999999999999,0.0050000000000000044,4.067666666666667,0.25566666666666665,0.7616666666666667
20.0,2021,10,0.312,-0.13066666666666668,0.09999999999999999,0.0050000000000000044,5.488,0.25566666666666665,0.7616666666666667
20.0,2021,11,0.3335,-0.013666666666666669,0.218,0.056,12.857666666666667,0.314,0.7473333333333333
20.0,2021,12,0.3335,-0.013666666666666669,0.218,0.056,13.316333333333333,0.314,0.7473333333333333
20.0,2022,1,0.3335,-0.013666666666666669,0.218,0.056,14.310333333333334,0.314,0.7473333333333333
20.0,2022,2,0.39,0.034333333333333334,0.29300000000000004,0.08366666666666667,15.914,0.34,0.6859999999999999
20.0,2022,3,0.39,0.034333333333333334,0.29300000000000004,0.08366666666666667,15.482333333333335,0.34,0.6859999999999999
20.0,2022,4,0.39,0.034333333333333334,0.29300000000000004,0.08366666666666667,13.444666666666665,0.34,0.6859999999999999
20.0,2022,5,0.34099999999999997,0.031,0.315,0.115,12.690666666666667,0.39266666666666666,0.7053333333333334
20.0,2022,6,0.34099999999999997,0.031,0.315,0.115,10.911000000000001,0.39266666666666666,0.7053333333333334
20.0,2022,7,0.34099999999999997,0.031,0.315,0.115,11.793999999999999,0.39266666666666666,0.7053333333333334
20.0,2022,8,0.518,0.024333333333333335,0.278,0.14366666666666666,12.414333333333332,0.42733333333333334,0.695
20.0,2022,9,0.518,0.024333333333333335,0.278,0.14366666666666666,11.730666666666666,0.42733333333333334,0.695
20.0,2022,10,0.518,0.024333333333333335,0.278,0.14366666666666666,12.289333333333332,0.42733333333333334,0.695
20.0,2022,11,0.533,0.021,0.248,0.15233333333333332,14.433000000000002,0.4486666666666667,0.6926666666666668
20.0,2022,12,0.533,0.021,0.248,0.15233333333333332,13.312666666666667,0.4486666666666667,0.6926666666666668
20.0,2023,1,0.533,0.021,0.248,0.15233333333333332,15.443000000000003,0.4486666666666667,0.6926666666666668
20.0,2023,2,0.49950000000000006,0.03333333333333333,0.2295,0.16266666666666665,27.959333333333333,0.461,0.663
20.0,2023,3,0.49950000000000006,0.03333333333333333,0.2295,0.16266666666666665,25.140333333333334,0.461,0.663
20.0,2023,4,0.49950000000000006,0.03333333333333333,0.2295,0.16266666666666665,25.507,0.461,0.663
20.0,2023,5,0.48650000000000004,0.042,0.2115,0.159,19.399666666666665,0.46599999999999997,0.678
20.0,2023,6,0.48650000000000004,0.042,0.2115,0.159,22.77133333333333,0.46599999999999997,0.678
20.0,2023,7,0.48650000000000004,0.042,0.2115,0.159,21.18133333333333,0.46599999999999997,0.678
20.0,2023,8,0.4375,0.04766666666666667,0.19549999999999998,0.14833333333333334,24.073000000000004,0.45566666666666666,0.669
20.0,2023,9,0.4375,0.04766666666666667,0.19549999999999998,0.14833333333333334,21.876666666666665,0.45566666666666666,0.669
20.0,2023,10,0.202,0.064,0.354,0.177,5.896500000000001,0.6025,0.7315
