Ticker,datadate,gsector,,,,,
AIR,2024-05-31,20,,,,,
ASA,2024-05-31,40,,,,,
APOG,2024-05-31,20,,,,,
EPAC,2024-05-31,20,,,,,
ARTW,2024-05-31,20,,,,,
AZZ,2024-05-31,20,,,,,
BSET,2024-05-31,25,,,,,
NICH,2024-05-31,25,,,,,
STZ,2024-05-31,30,,,,,
CTAS,2024-05-31,20,,,,,
CMC,2024-05-31,15,,,,,
CAG,2024-05-31,30,,,,,
EDUC,2024-05-31,25,,,,,
EBF,2024-05-31,20,,,,,
ETCC,2024-05-31,20,,,,,
FDX,2024-05-31,20,,,,,
FUL,2024-05-31,15,,,,,
GIS,2024-05-31,30,,,,,
HELE,2024-05-31,25,,,,,
LEN,2024-05-31,25,,,,,
JEF,2024-05-31,40,,,,,
MKC,2024-05-31,30,,,,,
MU,2024-05-31,45,,,,,
MPAD,2024-05-31,45,,,,,
MLKN,2024-05-31,20,,,,,
BMRA,2024-05-31,35,,,,,
7252B,2024-05-31,40,,,,,
NKE,2024-05-31,25,,,,,
PKE,2024-05-31,20,,,,,
PAYX,2024-05-31,20,,,,,
PCYO,2024-05-31,55,,,,,
RPM,2024-05-31,15,,,,,
RELL,2024-05-31,45,,,,,
SCHL,2024-05-31,50,,,,,
SODI,2024-05-31,45,,,,,
TAYD,2024-05-31,20,,,,,
UNF,2024-05-31,20,,,,,
VIDE,2024-05-31,45,,,,,
WDFC,2024-05-31,30,,,,,
WBA,2024-05-31,30,,,,,
WGO,2024-05-31,25,,,,,
WOR,2024-05-31,20,,,,,
CAWW,2024-05-31,30,,,,,
RMCF,2024-05-31,30,,,,,
ORCL,2024-05-31,45,,,,,
ADBE,2024-05-31,45,,,,,
KBH,2024-05-31,25,,,,,
SOTK,2024-05-31,45,,,,,
VOXX,2024-05-31,25,,,,,
CCL,2024-05-31,25,,,,,
EMF,2024-05-31,,,,,,
CMU,2024-05-31,,,,,,
TWN,2024-05-31,,,,,,
MGF,2024-05-31,,,,,,
PCF,2024-05-31,,,,,,
NXG,2024-05-31,,,,,,
AUSI,2024-05-31,20,,,,,
LNN,2024-05-31,20,,,,,
MVF,2024-05-31,,,,,,
STEW,2024-05-31,,,,,,
KTF,2024-05-31,,,,,,
OIA,2024-05-31,,,,,,
CXE,2024-05-31,,,,,,
CIF,2024-05-31,,,,,,
CXH,2024-05-31,,,,,,
FT,2024-05-31,,,,,,
KSM,2024-05-31,,,,,,
JMM,2024-05-31,,,,,,
NEOG,2024-05-31,35,,,,,
LEVI,2024-05-31,25,,,,,
NCA,2024-05-31,,,,,,
MCR,2024-05-31,,,,,,
DSM,2024-05-31,,,,,,
STME,2024-05-31,35,,,,,
BFOR,2024-05-31,,,,,,
NTIC,2024-05-31,15,,,,,
NG,2024-05-31,15,,,,,
SPRS,2024-05-31,45,,,,,
JOF,2024-05-31,,,,,,
AMJT,2024-05-31,35,,,,,
TLRY,2024-05-31,35,,,,,
BZYR,2024-05-31,35,,,,,
PUBC,2024-05-31,15,,,,,
PFD,2024-05-31,,,,,,
CCEL,2024-05-31,35,,,,,
AZO,2024-05-31,25,,,,,
PRGS,2024-05-31,45,,,,,
ABQQ,2024-05-31,50,,,,,
PFO,2024-05-31,,,,,,
BRW,2024-05-31,,,,,,
FC,2024-05-31,20,,,,,
LOOP,2024-05-31,15,,,,,
JCTC,2024-05-31,20,,,,,
MMU,2024-05-31,,,,,,
